Name,Owner,Description,GitHub URL,Repository Size,Number of stars,Number of forks,Number of open issues,List of topics,License,has_readme,has_contributing,has_code_of_conduct,has_pr_template,has_issue_template,has_newcomer_labels,found_newcomer_labels,contributors_count,commits_count,first_contributor_date,first_commit_files_changed,first_commit_additions,first_commit_deletions,first_commit_language,owner_type,size,subscribers_count,watchers_count,languages,Number of pull requests open,Number of pull requests merged,Number of pull requests closed,Number of issues open,Number of issues closed,Average time to close a pull request (days),Average time to close an issue (days),Average number of commits per month,Average number of newcomers per month,Average number of forks per month,Average number of stars per month,Size of README (KB),Size of CONTRIBUTING (KB),Size of CODE_OF_CONDUCT (KB),Repository age (months),full_name,distros_present,exclusion_reasons
crazyswarm2,IMRCLab,A Large Quadcopter Swarm,https://github.com/IMRCLab/crazyswarm2,64396,204,108,52,,MIT,True,False,False,False,False,True,good first issue,30,1309,2016-06-28T20:23:02Z,4,11,0,docs,Organization,64396,6,204,Python;C++;Makefile;CMake,3,212,235,49,216,8.36,92.45,25.17,0.58,2.08,3.92,1.36,0.0,0.0,52,IMRCLab/crazyswarm2,humble|jazzy,is_fork
point_cloud_transport_plugins,ros-perception,Transport plugins for point_cloud_transport.,https://github.com/ros-perception/point_cloud_transport_plugins,462,7,5,4,,BSD-3-Clause,True,True,False,False,False,True,good first issue,9,100,2019-07-29T12:03:50Z,40,4386,0,code,Organization,462,1,7,C++;CMake,2,65,70,2,0,3.55,,3.03,0.27,0.15,0.21,4.88,0.16,0.0,33,ros-perception/point_cloud_transport_plugins,humble|jazzy|kilted,is_fork
gazebo_ros_pkgs,ros-simulation,"Wrappers, tools and additional API's for using ROS with Gazebo",https://github.com/ros-simulation/gazebo_ros_pkgs,6829,849,786,391,,,True,True,False,False,False,True,good-first-issue,82,1010,2013-02-18T06:38:06Z,15,324,0,code,Organization,6829,44,849,C++;Python;CMake;Shell;Batchfile,96,686,848,295,327,110.05,208.57,6.56,0.67,5.1,5.51,1.25,1.52,0.0,154,ros-simulation/gazebo_ros_pkgs,humble,archived
microstrain_inertial,LORD-MicroStrain,ROS driver for all of MicroStrain's current G and C series products. To learn more visit,https://github.com/LORD-MicroStrain/microstrain_inertial,6133,130,98,29,imu;inertial-navigation-systems;inertial-sensors;ins;microstrain;mip;robotics;ros;ros-noetic;ros2-foxy;ros2-humble;ros2-rolling;slam;slam-algorithms,,True,False,False,False,False,True,good first issue,24,487,2016-12-19T00:17:46Z,1,29,0,config,Organization,6133,8,130,CMake;Makefile;C++;Python;Shell,4,156,166,25,199,9.54,84.79,6.67,0.48,1.34,1.78,11.55,0.0,0.0,73,LORD-MicroStrain/microstrain_inertial,humble|jazzy|kilted,is_fork
NavMap,EasyNavigation,,https://github.com/EasyNavigation/NavMap,13290,98,10,1,,Apache-2.0,True,False,False,False,False,True,good first issue,3,116,2025-09-14T06:56:37Z,1,33,0,docs,Organization,13290,1,98,C++;CMake;Python,0,17,18,1,1,0.65,125.77,19.33,0.5,1.67,16.33,9.81,0.0,0.0,6,EasyNavigation/NavMap,jazzy|kilted,created_recently_6mo
gps_umd,swri-robotics,,https://github.com/swri-robotics/gps_umd,231,103,100,11,,BSD-3-Clause,True,False,False,False,False,False,,20,146,2010-05-21T23:40:41Z,8,185,0,config,Organization,231,5,103,C++;Python;CMake,1,59,75,10,29,55.91,270.55,1.29,0.21,0.88,0.91,4.78,0.0,0.0,113,swri-robotics/gps_umd,humble|jazzy|kilted,is_fork
leo_examples-ros2,LeoRover,A collection of ROS packages that show example usage of functionalities on stock Leo Rover.,https://github.com/LeoRover/leo_examples-ros2,11290,0,0,0,,MIT,True,False,False,False,False,True,good first issue,2,9,2025-10-14T14:11:07Z,1,2,0,docs,Organization,11290,0,0,Python;Jupyter Notebook;CMake,0,5,5,0,0,14.63,,1.8,0.4,0.0,0.0,0.11,0.0,0.0,5,LeoRover/leo_examples-ros2,jazzy|kilted,created_recently_6mo
cartographer_ros,ros2,Provides ROS integration for Cartographer.,https://github.com/ros2/cartographer_ros,4834,197,87,25,,Apache-2.0,True,True,False,True,True,True,good first issue,49,691,2016-08-03T10:45:08Z,41,3412,0,code,Organization,4834,12,197,C++;Python;Lua;CMake;Shell;GLSL,5,34,45,20,14,50.9,65.8,6.4,0.52,0.81,1.82,2.28,2.05,0.0,108,ros2/cartographer_ros,humble|jazzy|kilted,is_fork
ros2_eventdispatch,cyan-at,discrete-time synchronization: ros2 src repo,https://github.com/cyan-at/ros2_eventdispatch,63,0,0,0,,Apache-2.0,True,False,False,False,False,True,good first issue,1,18,2025-10-30T05:36:49Z,1,201,0,other,User,63,0,0,Python;Shell;CMake,0,0,0,0,0,,,3.6,0.4,0.0,0.0,1.88,0.0,0.0,5,cyan-at/ros2_eventdispatch,jazzy,created_recently_6mo
ament_black,botsandus,Python auto formatting tool ament package. Release repository: https://github.com/ros2-gbp/ament_black-release,https://github.com/botsandus/ament_black,66,1,1,2,,Apache-2.0,False,True,False,False,False,True,good first issue,7,63,2020-03-23T21:06:12Z,14,646,0,code,Organization,66,1,1,Python;CMake,0,10,10,2,4,13.61,24.91,2.17,0.24,0.03,0.03,0.0,0.89,0.0,29,botsandus/ament_black,humble|jazzy|kilted,is_fork
