full_name,repo_url,distros,n_distros,n_packages_total,resolved_via_breakdown
autowarefoundation/autoware_core,https://github.com/autowarefoundation/autoware_core.git,humble,1,69,rosdistro_release_packages:69
ros-planning/navigation2,https://github.com/ros-planning/navigation2.git,humble|jazzy|kilted,3,44,rosdistro_release_packages:128
ros-planning/moveit2,https://github.com/ros-planning/moveit2.git,humble|jazzy|kilted,3,41,rosdistro_release_packages:119
ika-rwth-aachen/etsi_its_messages,https://github.com/ika-rwth-aachen/etsi_its_messages.git,humble|jazzy|kilted,3,35,rosdistro_release_packages:105
ament/ament_lint,https://github.com/ament/ament_lint.git,humble|jazzy|kilted,3,31,rosdistro_release_packages:93
ros-controls/ros2_controllers,https://github.com/ros-controls/ros2_controllers.git,humble|jazzy|kilted,3,30,rosdistro_release_packages:82
aerostack2/aerostack2,https://github.com/aerostack2/aerostack2.git,humble,1,28,rosdistro_release_packages:28
stonier/ecl_core,https://github.com/stonier/ecl_core.git,humble|jazzy|kilted,3,25,rosdistro_release_packages:75
ros2/rosbag2,https://github.com/ros2/rosbag2.git,humble|jazzy|kilted,3,25,rosdistro_release_packages:66
ament/ament_cmake,https://github.com/ament/ament_cmake.git,humble|jazzy|kilted,3,23,rosdistro_release_packages:67
ros2/examples,https://github.com/ros2/examples.git,humble|jazzy|kilted,3,22,rosdistro_release_packages:66
MOLAorg/mola,https://github.com/MOLAorg/mola.git,humble|jazzy|kilted,3,22,rosdistro_release_packages:66
ros2/demos,https://github.com/ros2/demos.git,humble|jazzy|kilted,3,21,rosdistro_release_packages:62
ros-drivers/phidgets_drivers,https://github.com/ros-drivers/phidgets_drivers.git,humble|jazzy|kilted,3,17,rosdistro_release_packages:51
ROBOTIS-GIT/open_manipulator,https://github.com/ROBOTIS-GIT/open_manipulator.git,humble|jazzy|kilted,3,17,rosdistro_release_packages:29
carologistics/clips_executive,https://github.com/carologistics/clips_executive.git,jazzy|kilted,2,17,rosdistro_release_packages:34
PlanSys2/ros2_planning_system,https://github.com/PlanSys2/ros2_planning_system.git,jazzy|kilted,2,16,rosdistro_release_packages:31
ANYbotics/grid_map,https://github.com/ANYbotics/grid_map.git,humble|jazzy|kilted,3,15,rosdistro_release_packages:45
bosch-engineering/off_highway_sensor_drivers,https://github.com/bosch-engineering/off_highway_sensor_drivers.git,humble|jazzy,2,15,rosdistro_release_packages:30
ros2/ros2cli,https://github.com/ros2/ros2cli.git,humble|jazzy|kilted,3,15,rosdistro_release_packages:45
ros2/geometry2,https://github.com/ros2/geometry2.git,humble|jazzy|kilted,3,14,rosdistro_release_packages:42
kroshu/kuka_drivers,https://github.com/kroshu/kuka_drivers.git,humble,1,14,rosdistro_release_packages:14
kroshu/kuka_robot_descriptions,https://github.com/kroshu/kuka_robot_descriptions.git,humble,1,14,rosdistro_release_packages:14
cyberbotics/webots_ros2,https://github.com/cyberbotics/webots_ros2.git,humble|jazzy|kilted,3,14,rosdistro_release_packages:42
ros2/common_interfaces,https://github.com/ros2/common_interfaces.git,humble|jazzy|kilted,3,13,rosdistro_release_packages:39
ros-industrial/ros2_canopen,https://github.com/ros-industrial/ros2_canopen.git,humble|jazzy|kilted,3,13,rosdistro_release_packages:39
MRPT/mrpt_ros,https://github.com/MRPT/mrpt_ros.git,humble|jazzy|kilted,3,13,rosdistro_release_packages:39
IntelligentRoboticsLabs/ros2_planning_system,https://github.com/IntelligentRoboticsLabs/ros2_planning_system.git,humble,1,13,rosdistro_release_packages:13
open-rmf/rmf_internal_msgs,https://github.com/open-rmf/rmf_internal_msgs.git,humble|jazzy|kilted,3,13,rosdistro_release_packages:37
ros2/rosidl,https://github.com/ros2/rosidl.git,humble|jazzy|kilted,3,13,rosdistro_release_packages:37
introlab/rtabmap_ros,https://github.com/introlab/rtabmap_ros.git,humble|jazzy|kilted,3,13,rosdistro_release_packages:39
locusrobotics/fuse,https://github.com/locusrobotics/fuse.git,jazzy|kilted,2,13,rosdistro_release_packages:26
Tonywelte/rosidlcpp,https://github.com/Tonywelte/rosidlcpp.git,jazzy|kilted,2,13,rosdistro_release_packages:26
autowarefoundation/autoware_utils,https://github.com/autowarefoundation/autoware_utils.git,humble|jazzy,2,12,rosdistro_release_packages:24
clearpathrobotics/clearpath_common,https://github.com/clearpathrobotics/clearpath_common.git,humble|jazzy,2,12,rosdistro_release_packages:22
frankaemika/franka_ros2,https://github.com/frankaemika/franka_ros2.git,humble,1,12,rosdistro_release_packages:12
gazebosim/ros_gz,https://github.com/gazebosim/ros_gz.git,humble|jazzy|kilted,3,12,rosdistro_release_packages:24
EasyNavigation/EasyNavigation,https://github.com/EasyNavigation/EasyNavigation.git,jazzy|kilted,2,12,rosdistro_release_packages:24
autowarefoundation/autoware_msgs,https://github.com/autowarefoundation/autoware_msgs.git,humble|jazzy|kilted,3,11,rosdistro_release_packages:33
ros-controls/ros2_control,https://github.com/ros-controls/ros2_control.git,humble|jazzy|kilted,3,11,rosdistro_release_packages:33
fzi-forschungszentrum-informatik/lanelet2,https://github.com/fzi-forschungszentrum-informatik/lanelet2.git,humble|jazzy|kilted,3,11,rosdistro_release_packages:33
swri-robotics/marti_common,https://github.com/swri-robotics/marti_common.git,humble|jazzy|kilted,3,11,rosdistro_release_packages:33
ROBOTIS-GIT/ai_worker,https://github.com/ROBOTIS-GIT/ai_worker.git,jazzy,1,11,rosdistro_release_packages:11
ros2/rcl_interfaces,https://github.com/ros2/rcl_interfaces.git,humble|jazzy|kilted,3,10,rosdistro_release_packages:28
Ekumen-OS/andino,https://github.com/Ekumen-OS/andino.git,humble,1,10,rosdistro_release_packages:10
tuw-robotics/tuw_msgs,https://github.com/tuw-robotics/tuw_msgs.git,humble|jazzy|kilted,3,10,rosdistro_release_packages:30
husarion/rosbot_ros,https://github.com/husarion/rosbot_ros.git,jazzy,1,10,rosdistro_release_packages:10
ros-perception/image_pipeline,https://github.com/ros-perception/image_pipeline.git,humble|jazzy|kilted,3,9,rosdistro_release_packages:27
flexbe/flexbe_behavior_engine,https://github.com/flexbe/flexbe_behavior_engine.git,humble|jazzy|kilted,3,9,rosdistro_release_packages:27
ros-sports/game_controller_spl,https://github.com/ros-sports/game_controller_spl.git,humble|jazzy|kilted,3,9,rosdistro_release_packages:13
iRobotEducation/create3_sim,https://github.com/iRobotEducation/create3_sim.git,humble|jazzy,2,9,rosdistro_release_packages:14
swri-robotics/marti_messages,https://github.com/swri-robotics/marti_messages.git,humble|jazzy|kilted,3,9,rosdistro_release_packages:27
naturerobots/move_base_flex,https://github.com/naturerobots/move_base_flex.git,humble|jazzy,2,9,rosdistro_release_packages:18
MOCAP4ROS2-Project/mocap4r2,https://github.com/MOCAP4ROS2-Project/mocap4r2.git,humble,1,9,rosdistro_release_packages:9
