full_name,ros_distro,n_packages_in_distro,repo_url
2b-t/myactuator_rmd,humble,1,https://github.com/2b-t/myactuator_rmd.git
42dot/foros,humble,4,https://github.com/42dot/foros.git
4am-robotics/cob_common,humble,4,https://github.com/4am-robotics/cob_common.git
ADVRHumanoids/nicla_vision_ros2,humble,1,https://github.com/ADVRHumanoids/nicla_vision_ros2.git
ANYbotics/grid_map,humble,15,https://github.com/ANYbotics/grid_map.git
AndrejOrsula/pymoveit2,humble,1,https://github.com/AndrejOrsula/pymoveit2.git
AprilRobotics/apriltag,humble,1,https://github.com/AprilRobotics/apriltag.git
AutonicsLiDAR/lsc_ros2_driver,humble,1,https://github.com/AutonicsLiDAR/lsc_ros2_driver.git
AutonomyLab/create_robot,humble,5,https://github.com/AutonomyLab/create_robot.git
AutonomyLab/libcreate,humble,1,https://github.com/AutonomyLab/libcreate.git
Autoware-AI/qpoases_vendor,humble,1,https://github.com/Autoware-AI/qpoases_vendor.git
BerkeleyAutomation/FogROS2,humble,2,https://github.com/BerkeleyAutomation/FogROS2.git
Boeing/gazebo_no_physics_plugin,humble,1,https://github.com/Boeing/gazebo_no_physics_plugin.git
Boeing/gazebo_planar_move_plugin,humble,1,https://github.com/Boeing/gazebo_planar_move_plugin.git
Boeing/gazebo_set_joint_positions_plugin,humble,1,https://github.com/Boeing/gazebo_set_joint_positions_plugin.git
CCNYRoboticsLab/imu_tools,humble,4,https://github.com/CCNYRoboticsLab/imu_tools.git
Chroma-CITI/namoros,humble,1,https://github.com/Chroma-CITI/namoros.git
Chroma-CITI/namosim,humble,1,https://github.com/Chroma-CITI/namosim.git
DFKI-NI/mir_robot,humble,1,https://github.com/DFKI-NI/mir_robot.git
DFKI-NI/rospy_message_converter,humble,2,https://github.com/DFKI-NI/rospy_message_converter.git
DLu/simple_actions,humble,1,https://github.com/DLu/simple_actions.git
DLu/tf_transformations,humble,1,https://github.com/DLu/tf_transformations.git
Ekumen-OS/andino,humble,10,https://github.com/Ekumen-OS/andino.git
Ekumen-OS/andino_gz,humble,1,https://github.com/Ekumen-OS/andino_gz.git
Ekumen-OS/beluga,humble,3,https://github.com/Ekumen-OS/beluga.git
Fields2Cover/fields2cover,humble,1,https://github.com/Fields2Cover/fields2cover.git
ForteFibre/FluentRviz,humble,1,https://github.com/ForteFibre/FluentRviz.git
ForteFibre/parameter_expression,humble,1,https://github.com/ForteFibre/parameter_expression.git
FraunhoferIOSB/camera_aravis2,humble,2,https://github.com/FraunhoferIOSB/camera_aravis2.git
Geson-anko/numpy_ndarray_msgs,humble,1,https://github.com/Geson-anko/numpy_ndarray_msgs.git
HebiRobotics/hebi_cpp_api_ros,humble,1,https://github.com/HebiRobotics/hebi_cpp_api_ros.git
HebiRobotics/hebi_msgs,humble,1,https://github.com/HebiRobotics/hebi_msgs.git
IMRCLab/crazyswarm2,humble,5,https://github.com/IMRCLab/crazyswarm2.git
IMRCLab/motion_capture_tracking,humble,2,https://github.com/IMRCLab/motion_capture_tracking.git
Ikerlan-KER/extrinsic_calibrator,humble,1,https://github.com/Ikerlan-KER/extrinsic_calibrator.git
IntelRealSense/librealsense,humble,1,https://github.com/IntelRealSense/librealsense.git
IntelRealSense/realsense-ros,humble,3,https://github.com/IntelRealSense/realsense-ros.git
IntelligentRoboticsLabs/ros2_planning_system,humble,13,https://github.com/IntelligentRoboticsLabs/ros2_planning_system.git
JafarAbdi/feetech_ros2_driver,humble,1,https://github.com/JafarAbdi/feetech_ros2_driver.git
JafarAbdi/jacro,humble,1,https://github.com/JafarAbdi/jacro.git
Jannkar/turtle_nest,humble,1,https://github.com/Jannkar/turtle_nest.git
KIT-MRT/mrt_cmake_modules,humble,1,https://github.com/KIT-MRT/mrt_cmake_modules.git
Kinovarobotics/ros2_kortex,humble,7,https://github.com/Kinovarobotics/ros2_kortex.git
KumarRobotics/ublox,humble,4,https://github.com/KumarRobotics/ublox.git
LOEWE-emergenCITY/ros2_babel_fish,humble,2,https://github.com/LOEWE-emergenCITY/ros2_babel_fish.git
LORD-MicroStrain/microstrain_inertial,humble,5,https://github.com/LORD-MicroStrain/microstrain_inertial.git
LORD-MicroStrain/ntrip_client,humble,1,https://github.com/LORD-MicroStrain/ntrip_client.git
LeoRover/leo_common-ros2,humble,4,https://github.com/LeoRover/leo_common-ros2.git
