repository,path,final_state,is_alive,first_month,last_activity_month,lifespan_months
2b-t/myactuator_rmd,Running(2m)-Dead(1m)-Running(1m)-Dead(2m)-Running(1m)-Dead(2m)-Running(2m)-Zombie(1m)-Running(2m)-Zombie(3m)-Running(2m)-Zombie(1m)-Dead(1m)-Running(2m)-Zombie(3m)-Dead(1m)-Zombie(2m)-Dead(2m)-Zombie(1m)-Dead(1m)-Zombie(1m)-Dead(1m),Dead,True,2023-05,2026-02,35
42dot/foros,Running(3m)-Dead(1m)-Running(1m)-Dead(1m)-Running(3m)-Dead(2m)-Running(3m)-Dead(1m)-Running(1m)-Dead(38m),Dead,False,2021-10,2023-01,54
4am-robotics/cob_common,Running(64m)-Dead(1m)-Running(22m)-Zombie(1m)-Running(5m)-Zombie(1m)-Running(2m)-Zombie(1m)-Running(1m)-Dead(1m)-Running(4m)-Dead(1m)-Running(1m)-Dead(1m)-Running(1m)-Zombie(1m)-Running(3m)-Zombie(1m)-Running(2m)-Zombie(1m)-Running(2m)-Dead(1m)-Running(1m)-Dead(1m)-Running(3m)-Dead(1m)-Zombie(1m)-Running(4m)-Dead(2m)-Running(1m)-Dead(4m)-Running(2m)-Dead(3m)-Running(1m)-Dead(4m)-Running(1m)-Dead(1m)-Running(1m)-Dead(2m)-Zombie(1m)-Running(1m)-Dead(4m)-Running(1m)-Dead(5m)-Running(2m)-Dead(1m)-Zombie(1m)-Running(3m)-Dead(1m)-Running(1m)-Zombie(1m)-Running(1m)-Dead(2m)-Running(1m)-Zombie(2m)-Dead(1m)-Zombie(1m)-Dead(1m)-Zombie(1m)-Dead(2m)-Zombie(1m)-Running(1m)-Dead(1m)-Zombie(1m)-Dead(4m),Dead,True,2010-03,2025-11,193
ADVRHumanoids/nicla_vision_ros2,Running(5m)-Dead(8m)-Running(1m)-Dead(4m)-Running(1m)-Dead(4m),Dead,True,2024-05,2025-11,23
ANYbotics/grid_map,Running(5m)-Dead(1m)-Running(15m)-Dead(2m)-Running(16m)-Zombie(8m)-Running(1m)-Zombie(4m)-Running(15m)-Zombie(1m)-Running(12m)-Zombie(1m)-Running(3m)-Zombie(1m)-Running(11m)-Zombie(1m)-Running(2m)-Zombie(1m)-Running(5m)-Zombie(1m)-Running(2m)-Zombie(1m)-Running(2m)-Dead(1m)-Running(1m)-Zombie(2m)-Running(2m)-Zombie(1m)-Running(4m)-Zombie(2m)-Running(2m)-Zombie(6m)-Running(1m)-Dead(1m)-Zombie(2m)-Running(1m)-Dead(2m),Dead,True,2014-09,2026-01,139
AndrejOrsula/pymoveit2,Running(3m)-Zombie(2m)-Running(3m)-Zombie(3m)-Running(1m)-Zombie(2m)-Dead(1m)-Zombie(1m)-Dead(2m)-Running(13m)-Dead(1m)-Zombie(3m)-Running(1m)-Dead(1m)-Zombie(1m)-Running(2m)-Zombie(1m)-Running(4m)-Zombie(1m)-Running(3m)-Zombie(1m)-Running(1m)-Dead(1m),Dead,True,2021-12,2026-02,52
AprilRobotics/apriltag,Running(3m)-Zombie(1m)-Running(7m)-Zombie(1m)-Running(2m)-Zombie(1m)-Running(1m)-Zombie(5m)-Running(2m)-Zombie(1m)-Running(5m)-Zombie(1m)-Running(1m)-Zombie(1m)-Running(1m)-Zombie(2m)-Running(8m)-Zombie(1m)-Running(5m)-Zombie(1m)-Running(2m)-Zombie(1m)-Dead(1m)-Zombie(1m)-Running(16m)-Zombie(1m)-Running(6m)-Zombie(1m)-Running(7m)-Dead(1m)-Running(3m)-Zombie(1m),Zombie,True,2018-09,2026-03,91
AutoAPMS/auto-apms,Running(20m)-Zombie(1m),Zombie,True,2024-07,2026-03,21
AutonicsLiDAR/lsc_ros2_driver,Running(1m)-Dead(15m)-Running(1m)-Dead(1m)-Zombie(2m)-Dead(3m)-Zombie(1m)-Dead(16m),Dead,False,2022-12,2024-11,40
AutonomyLab/create_robot,Running(9m)-Dead(1m)-Running(3m)-Zombie(2m)-Running(2m)-Zombie(4m)-Dead(1m)-Zombie(2m)-Dead(1m)-Zombie(3m)-Running(3m)-Zombie(1m)-Dead(2m)-Zombie(4m)-Dead(1m)-Zombie(1m)-Dead(2m)-Running(1m)-Zombie(1m)-Running(2m)-Zombie(1m)-Dead(2m)-Zombie(2m)-Dead(4m)-Zombie(1m)-Dead(1m)-Zombie(1m)-Running(1m)-Zombie(1m)-Running(1m)-Dead(1m)-Zombie(3m)-Running(1m)-Zombie(2m)-Dead(1m)-Zombie(3m)-Dead(1m)-Zombie(3m)-Running(1m)-Dead(3m)-Zombie(1m)-Dead(1m)-Running(1m)-Dead(5m)-Zombie(1m)-Running(1m)-Dead(4m)-Zombie(1m)-Dead(7m)-Zombie(1m)-Dead(5m)-Zombie(1m)-Dead(1m)-Zombie(1m)-Dead(1m)-Running(1m)-Dead(1m)-Zombie(1m)-Dead(1m)-Zombie(1m)-Dead(2m)-Zombie(1m)-Dead(4m),Dead,True,2015-12,2025-11,124
