owner_type,repository,month,state
User,2b-t/myactuator_rmd,2023-05,Running
User,2b-t/myactuator_rmd,2023-06,Running
User,2b-t/myactuator_rmd,2023-07,Dead
User,2b-t/myactuator_rmd,2023-08,Running
User,2b-t/myactuator_rmd,2023-09,Dead
User,2b-t/myactuator_rmd,2023-10,Dead
User,2b-t/myactuator_rmd,2023-11,Running
User,2b-t/myactuator_rmd,2023-12,Dead
User,2b-t/myactuator_rmd,2024-01,Dead
User,2b-t/myactuator_rmd,2024-02,Running
User,2b-t/myactuator_rmd,2024-03,Running
User,2b-t/myactuator_rmd,2024-04,Zombie
User,2b-t/myactuator_rmd,2024-05,Running
User,2b-t/myactuator_rmd,2024-06,Running
User,2b-t/myactuator_rmd,2024-07,Zombie
User,2b-t/myactuator_rmd,2024-08,Zombie
User,2b-t/myactuator_rmd,2024-09,Zombie
User,2b-t/myactuator_rmd,2024-10,Running
User,2b-t/myactuator_rmd,2024-11,Running
User,2b-t/myactuator_rmd,2024-12,Zombie
User,2b-t/myactuator_rmd,2025-01,Dead
User,2b-t/myactuator_rmd,2025-02,Running
User,2b-t/myactuator_rmd,2025-03,Running
User,2b-t/myactuator_rmd,2025-04,Zombie
User,2b-t/myactuator_rmd,2025-05,Zombie
User,2b-t/myactuator_rmd,2025-06,Zombie
User,2b-t/myactuator_rmd,2025-07,Dead
User,2b-t/myactuator_rmd,2025-08,Zombie
User,2b-t/myactuator_rmd,2025-09,Zombie
User,2b-t/myactuator_rmd,2025-10,Dead
User,2b-t/myactuator_rmd,2025-11,Dead
User,2b-t/myactuator_rmd,2025-12,Zombie
User,2b-t/myactuator_rmd,2026-01,Dead
User,2b-t/myactuator_rmd,2026-02,Zombie
User,2b-t/myactuator_rmd,2026-03,Dead
Organization,42dot/foros,2021-10,Running
Organization,42dot/foros,2021-11,Running
Organization,42dot/foros,2021-12,Running
Organization,42dot/foros,2022-01,Dead
Organization,42dot/foros,2022-02,Running
Organization,42dot/foros,2022-03,Dead
Organization,42dot/foros,2022-04,Running
Organization,42dot/foros,2022-05,Running
Organization,42dot/foros,2022-06,Running
Organization,42dot/foros,2022-07,Dead
Organization,42dot/foros,2022-08,Dead
Organization,42dot/foros,2022-09,Running
Organization,42dot/foros,2022-10,Running
Organization,42dot/foros,2022-11,Running
Organization,42dot/foros,2022-12,Dead
Organization,42dot/foros,2023-01,Running
Organization,42dot/foros,2023-02,Dead
