owner_type,from_state,to_state,count,probability_pct
Organization,Running,Running,17070,67.33
Organization,Running,Dead,5390,21.26
Organization,Running,Zombie,2893,11.41
Organization,Zombie,Running,2819,32.81
Organization,Zombie,Zombie,3291,38.3
Organization,Zombie,Dead,2483,28.9
Organization,Dead,Running,4768,17.8
Organization,Dead,Dead,19494,72.78
Organization,Dead,Zombie,2524,9.42
User,Running,Running,963,59.52
User,Running,Dead,435,26.89
User,Running,Zombie,220,13.6
User,Zombie,Running,200,35.59
User,Zombie,Zombie,154,27.4
User,Zombie,Dead,208,37.01
User,Dead,Running,361,11.18
User,Dead,Dead,2667,82.62
User,Dead,Zombie,200,6.2
