repository,time_months,event,is_alive,first_month,last_activity_month,owner_type,has_readme,has_contributing,has_code_of_conduct,has_newcomer_labels,contributors_count,commits_count,stars,forks
2b-t/myactuator_rmd,34,0,True,2023-05,2026-02,User,True,False,False,True,2,141,50,32
42dot/foros,15,1,False,2021-10,2023-01,Organization,True,False,True,True,1,177,40,9
4am-robotics/cob_common,192,0,True,2010-03,2025-11,Organization,True,False,False,False,51,2133,68,137
ADVRHumanoids/nicla_vision_ros2,22,0,True,2024-05,2025-11,Organization,True,True,False,True,2,52,10,2
ANYbotics/grid_map,138,0,True,2014-09,2026-01,Organization,True,False,False,True,39,806,3065,856
AndrejOrsula/pymoveit2,51,0,True,2021-12,2026-02,User,True,False,False,True,18,108,331,102
AprilRobotics/apriltag,90,0,True,2018-09,2026-03,Organization,True,False,False,True,60,452,2156,641
AutoAPMS/auto-apms,20,0,True,2024-07,2026-03,Organization,True,True,False,True,2,317,91,8
AutonicsLiDAR/lsc_ros2_driver,23,1,False,2022-12,2024-11,Organization,True,False,False,True,1,12,3,3
AutonomyLab/create_robot,123,0,True,2015-12,2025-11,Organization,True,False,False,False,11,183,220,176
AutonomyLab/libcreate,112,1,False,2015-12,2025-04,Organization,True,False,False,True,13,131,49,83
Barry-Xu-2018/ros2_service_load_balancing,19,0,True,2024-08,2025-10,User,True,False,False,True,2,37,8,1
Beam-and-Spyrosoft/rtest,11,0,True,2025-04,2026-03,Organization,True,True,False,True,10,58,128,18
BerkeleyAutomation/FogROS2,41,1,False,2022-02,2025-07,Organization,True,False,False,True,9,341,213,31
Boeing/gazebo_no_physics_plugin,32,1,False,2022-11,2025-07,Organization,True,False,False,True,4,16,1,0
Boeing/gazebo_planar_move_plugin,80,1,False,2017-08,2024-04,Organization,True,False,False,True,9,123,1,1
Boeing/gazebo_set_joint_positions_plugin,94,1,False,2017-08,2025-06,Organization,True,False,False,True,8,134,3,1
BruceChanJianLe/laser_scan_merger,1,1,False,2025-05,2025-05,User,True,False,False,True,1,16,0,1
CCNYRoboticsLab/imu_tools,165,0,True,2012-06,2026-02,Organization,True,False,False,True,33,284,1086,473
Chroma-CITI/namoros,10,0,True,2025-05,2025-10,Organization,True,False,False,True,2,82,6,0
Chroma-CITI/namosim,83,0,True,2019-04,2025-10,Organization,True,False,False,True,2,1342,13,2
DFKI-NI/mir_robot,109,0,True,2017-02,2025-11,Organization,True,False,False,True,8,310,264,173
DFKI-NI/rospy_message_converter,158,0,True,2013-01,2026-02,Organization,True,False,False,False,13,133,236,101
DLu/simple_actions,43,0,True,2022-08,2026-02,User,True,False,False,True,3,28,22,6
DLu/tf_transformations,57,0,True,2021-06,2026-02,User,True,False,False,True,4,20,59,18
EasyNavigation/EasyNavigation,11,0,True,2025-04,2026-03,Organization,True,False,False,True,5,355,77,16
Ekumen-OS/andino,40,0,True,2022-11,2026-02,Organization,True,True,True,True,17,160,305,75
Ekumen-OS/andino_gz,31,0,True,2023-08,2025-09,Organization,True,True,True,True,9,53,50,17
Ekumen-OS/beluga,41,0,True,2022-10,2026-02,Organization,True,True,True,True,19,339,311,31
Fields2Cover/Fields2Cover,45,0,True,2022-06,2026-01,Organization,True,False,True,True,20,491,758,172
FlexBE/flexbe_app,102,1,False,2017-01,2025-07,Organization,True,False,False,False,7,160,51,52
FlexBE/flexbe_behavior_engine,128,0,True,2015-07,2025-11,Organization,True,True,False,True,25,561,67,19
ForteFibre/FluentRviz,29,1,False,2021-01,2023-06,Organization,True,True,False,True,2,251,5,0
ForteFibre/parameter_expression,12,0,True,2025-03,2025-09,Organization,True,False,False,True,1,10,7,0
FraunhoferIOSB/camera_aravis2,45,0,True,2022-06,2025-09,Organization,True,True,False,False,3,100,41,6
FraunhoferIOSB/multisensor_calibration,13,0,True,2025-02,2026-02,Organization,True,True,False,False,3,97,109,10
Geson-anko/numpy_ndarray_msgs,1,1,False,2025-02,2025-03,User,True,True,False,True,1,73,2,0
HebiRobotics/hebi_cpp_api_ros,87,0,True,2018-12,2026-01,Organization,False,False,False,True,4,65,4,5
HebiRobotics/hebi_msgs,33,0,True,2023-06,2026-01,Organization,True,False,False,True,2,20,0,1
IMRCLab/motion_capture_tracking,61,0,True,2021-02,2026-02,Organization,True,False,False,True,4,86,72,38
Ikerlan-KER/extrinsic_calibrator,9,1,False,2024-10,2025-07,Organization,True,False,False,True,3,48,38,8
JafarAbdi/feetech_ros2_driver,17,0,True,2024-10,2026-03,User,True,False,False,True,9,29,35,21
JafarAbdi/jacro,16,0,True,2024-11,2025-11,User,True,False,False,True,2,13,0,0
Jannkar/turtle_nest,19,0,True,2024-08,2025-11,User,True,False,False,True,2,55,208,19
KIT-MRT/mrt_cmake_modules,128,0,True,2015-07,2026-01,Organization,True,False,False,False,18,1090,43,27
Kinovarobotics/ros2_kortex,57,0,True,2021-06,2026-03,Organization,True,False,False,True,23,206,108,96
KumarRobotics/ublox,141,0,True,2014-06,2026-01,Organization,True,False,False,False,21,286,519,432
LOEWE-emergenCITY/ros_babel_fish,56,0,True,2021-07,2026-02,Organization,True,False,False,True,2,68,55,13
LORD-MicroStrain/ntrip_client,52,0,True,2021-11,2026-02,Organization,True,False,False,True,4,36,103,82
LeoRover/leo_common-ros2,80,0,True,2019-07,2025-12,Organization,True,False,False,True,5,77,4,10
LeoRover/leo_desktop-ros2,55,1,False,2020-10,2025-05,Organization,True,False,False,True,1,22,0,0
LeoRover/leo_robot-ros2,48,0,True,2022-03,2026-01,Organization,True,False,False,True,4,141,7,3
LeoRover/leo_simulator-ros2,22,1,False,2023-09,2025-07,Organization,True,False,False,True,3,83,16,6
MOCAP4ROS2-Project/mocap4r2,45,0,True,2022-06,2025-10,Organization,True,False,False,True,4,65,3,18
MOCAP4ROS2-Project/mocap4r2_msgs,69,0,True,2020-06,2025-11,Organization,True,False,False,True,4,54,6,16
MOLAorg/mola,88,0,True,2018-11,2026-03,Organization,True,False,False,False,3,1550,867,125
MOLAorg/mola_common,88,0,True,2018-11,2025-10,Organization,True,False,False,True,1,94,0,4
MOLAorg/mola_gnss_to_markers,18,0,True,2024-09,2025-12,Organization,True,False,False,True,3,24,3,3
MOLAorg/mola_imu_preintegration,27,0,True,2023-12,2026-02,Organization,True,False,False,True,1,125,16,2
MOLAorg/mola_lidar_odometry,61,0,True,2021-02,2026-03,Organization,True,False,False,True,2,661,100,17
MOLAorg/mola_sm_loop_closure,25,0,True,2024-02,2026-02,Organization,True,False,False,True,1,118,2,1
MOLAorg/mola_state_estimation,27,0,True,2023-12,2026-03,Organization,True,False,False,True,1,306,11,1
MOLAorg/mola_test_datasets,73,1,False,2019-06,2025-07,Organization,True,False,False,True,2,41,0,3
MOLAorg/mp2p_icp,87,0,True,2018-12,2026-03,Organization,True,False,False,True,3,1008,188,28
MRPT/gtsam2mrpt_serial,47,0,True,2022-04,2026-02,Organization,True,False,False,True,1,30,6,2
MRPT/mrpt_path_planning,82,0,True,2019-05,2026-01,Organization,True,False,False,True,2,300,17,4
MRPT/mrpt_ros,20,0,True,2024-07,2026-02,Organization,True,False,False,True,3,100,9,4
MRPT/mrpt_ros_bridge,46,0,True,2022-05,2026-02,Organization,True,False,False,True,1,109,2,1
MRPT/mvsim,139,0,True,2014-08,2026-03,Organization,True,False,False,False,9,1374,367,54
MRPT/python_mrpt_ros,20,0,True,2024-07,2026-02,Organization,True,False,False,True,1,31,2,0
MarvelmindRobotics/marvelmind_ros2_upstream,4,1,False,2022-07,2022-11,Organization,True,False,False,True,2,10,0,3
MetroRobots/classic_bags,34,0,True,2023-05,2026-03,Organization,True,False,False,True,2,25,9,1
MetroRobots/color_util,36,0,True,2023-03,2026-02,Organization,True,False,False,True,2,22,0,1
MetroRobots/metrics_msgs,31,0,True,2023-08,2026-01,Organization,True,False,False,True,2,16,0,0
MetroRobots/metro_nav,31,0,True,2023-08,2026-01,Organization,True,False,False,True,2,13,0,0
MetroRobots/polygon_ros,36,0,True,2023-03,2026-01,Organization,True,False,False,True,3,33,17,2
MetroRobots/ros_system_fingerprint,46,0,True,2022-05,2026-01,Organization,True,False,False,True,2,29,33,1
